Row ID,Order ID,Order Date,Ship Date,Ship Mode,Sales,Quantity,Discount,Profit,Region,State,Product purchased,Category,Sub-Category
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,261.96,2,0.0,41.9136,South,Kentucky,FUR-BO-10001798|Bush Somerset Collection Bookcase,Furniture,Bookcases
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,731.94,3,0.0,219.582,South,Kentucky,"FUR-CH-10000454|Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,14.62,2,0.0,6.8714,West,California,OFF-LA-10000240|Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,957.5775,5,0.45,-383.031,South,Florida,FUR-TA-10000577|Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,22.368,2,0.2,2.5164,South,Florida,OFF-ST-10000760|Eldon Fold 'N Roll Cart System,Office Supplies,Storage
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,48.86,7,0.0,14.1694,West,California,"FUR-FU-10001487|Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,7.28,4,0.0,1.9656,West,California,OFF-AR-10002833|Newell 322,Office Supplies,Art
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,907.152,6,0.2,90.7152,West,California,TEC-PH-10002275|Mitel 5320 IP Phone VoIP phone,Technology,Phones
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,18.504,3,0.2,5.7825,West,California,OFF-BI-10003910|DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,114.9,5,0.0,34.47,West,California,OFF-AP-10002892|Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,1706.184,9,0.2,85.3092,West,California,FUR-TA-10001539|Chromcraft Rectangular Conference Tables,Furniture,Tables
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,911.424,4,0.2,68.3568,West,California,TEC-PH-10002033|Konftel 250 Conference�phone�- Charcoal black,Technology,Phones
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,15.552,3,0.2,5.4432,South,North Carolina,OFF-PA-10002365|Xerox 1967,Office Supplies,Paper
14,CA-2016-161389,2016-05-12,2016-12-10,Standard Class,407.976,3,0.2,132.5922,West,Washington,OFF-BI-10003656|Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,68.81,5,0.8,-123.858,Central,Texas,"OFF-AP-10002311|Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,2.544,3,0.8,-3.816,Central,Texas,OFF-BI-10000756|Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders
